"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
10/5/17 4:14 PM,"informazione scienza",3.17700874E8,,-1.0,"en","<a href='http://www.informazione.it' rel='nofollow'>Tweet Informazione</a>","Samsung Galaxy Tab A 8.0 2017 con Bixby? Dubbi dei fan (Romah24) https://t.co/m55KemmStT",,,0.0,9.1586775194367181E17
10/5/17 4:14 PM,"Viketox",2.260656533E9,,-1.0,"en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @lolesports: Samsung Galaxy start out strong with a win against @G2esports! #SSGWIN #Worlds2017 https://t.co/gj4uAYiiFh",,,96.0,9.1586774060229427E17
10/5/17 4:14 PM,"Bk201",3.316239981E9,,-1.0,"en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @G2mithy: Today I'm bringing home a birthday present.
A win against Samsung ?? #supportking #Worlds2017",,,45.0,9.1586773602215117E17
10/5/17 4:14 PM,"kira?",2.973909923E9,,-1.0,"en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @helloeuph0ria: siri could steal my girl, tell me my ass is not fat, and kick me in the trachea and I still wouldn't get a samsung",,,31.0,9.1586773166847181E17
10/5/17 4:14 PM,"E.T. - SHOP",3.432618437E9,,-1.0,"en","<a href='https://ifttt.com' rel='nofollow'>IFTTT</a>","#eBayIT #imperdibili  Pz: 379,00€ #SAMSUNG T819 GALAXY TAB S2 9.7 9.7' 32GB WI-FI + 4G LTE ANDROID 6 GOLD… https://t.co/82XWR3pTcP",,,0.0,9.1586770110871552E17
10/5/17 4:14 PM,"Flutterpenn",9.60089468E8,,-1.0,"en","<a href='http://twitter.com' rel='nofollow'>Twitter Web Client</a>","Was anyone surprised by this outcome? Samsung is literally just a better version of G2 in every single way. Expected outcome. #Worlds2017",,,0.0,9.1586769483402854E17
10/5/17 4:14 PM,"Stildus",3.122899E8,,-1.0,"en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @G2mithy: Today I'm bringing home a birthday present.
A win against Samsung ?? #supportking #Worlds2017",,,45.0,9.1586769415451443E17
10/5/17 4:14 PM,"Alexandre",4.343325867E9,,-1.0,"en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @lolesports: Coming up next:

#EULCS Champion @G2esports vs. Worlds 2016 Runner-Up Samsung Galaxy! #G2WIN #SSGWIN #Worlds2017

? https:/…",,,68.0,9.1586768496909107E17
10/5/17 4:14 PM,"PerthNow",9609622.0,,-1.0,"en","<a href='http://www.socialflow.com' rel='nofollow'>SocialFlow</a>","And the Choice Shonkys Awards go to... https://t.co/gYPkpchVzJ https://t.co/7JcYD3Na3z",,,0.0,9.1586768060275507E17
10/5/17 4:14 PM,"Frangb9815",3.226304559E9,,-1.0,"en","<a href='http://twitter.com' rel='nofollow'>Twitter Web Client</a>","RT @lolesports: Samsung Galaxy start out strong with a win against @G2esports! #SSGWIN #Worlds2017 https://t.co/gj4uAYiiFh",,,96.0,9.1586767738153779E17
